Title,Company,Experience,Location,Salary,Skills
Data Analyst-AI/ML,Teleperformance (TP),2-7 Yrs,Hyderabad,Not Mentioned,"Data Analytics, SQL, Power Bi, Artificial Intelligence, Ai Platform, Machine Learning, Ml, Python"
DATA ANALYST,Atos,4-5 Yrs,Chennai,Not Mentioned,"Manager Quality Assurance, spark, Hadoop, IT projects, high performance computing, Data Analyst, Research, digital transformation"
"Data Eng, Mgmt & Governance Analyst",Accenture,3-5 Yrs,Bengaluru,Not Mentioned,"data management, sql, gcp, bigquery, etl, hive, python, data analysis"
Splunk Data Analyst,Vanderlande Industries,4-9 Yrs,Pune,Not Mentioned,"microsoft azure, sql, gcp, splunk, aws, c#, css, rpa"
Data Analyst,Victrix Systems And Labs,8-10 Yrs,Kolkata,Not Mentioned,"HCM, Change Management, Business Analyst, Data Migration, Oracle HCM, Data Analyst, Data Modeling, Data Analytics"
Data Analyst -Survey Administration,Mercer,1-6 Yrs,Gurugram,Not Mentioned,"data analysis, data validation, documentation, vlookup, data collection, hlookup, python, project management"
Data Analyst,Novel Office,1-2 Yrs,Bangalore Rural,Not Mentioned,"Communication Skills, Excel, Analytical Skills, Data Interpretation, Problem Solving, Data Analysis, Data Collection, Reporting"
Data Analyst,Fireblaze Ai School,0-2 Yrs,Ahmedabad,Not Mentioned,"Performance tuning, Automation, Data analysis, Data modeling, Analytical, Machine learning, Macros, SQL"
Data Analyst,ICICI Lombard,3-8 Yrs,Mumbai (All Areas)(Prabhadevi),Not Mentioned,"Six Sigma Green Belt, Data Analytics, ERM, Green Belt, Six Sigma Certified, Six, Certified, Six sigma"
Data Analyst,Leading Client,2-4 Yrs,Karnataka,Not Mentioned,"data analysis, data management, data mining, troubleshooting, data visualization, python, macros, data analytics"
Data Analyst,Leading Client,2-4 Yrs,Chennai,Not Mentioned,"data analysis, data management, data mining, troubleshooting, data visualization, python, macros, data analytics"
Data Analyst,Lektronix,1-5 Yrs,"Noida, New Delhi, Pune, Bengaluru",Not Mentioned,"Computer science, Analytical skills, ERP, Automation, Change management, Industrial automation, Agile, Data quality"
Data Analyst,Lektronix,1-5 Yrs,"Noida, New Delhi, Pune, Chennai, Bengaluru",Not Mentioned,"Computer science, Analytical skills, Automation, ERP, Change management, Industrial automation, Agile, Data quality"
Data Analyst,Leading Client,2-4 Yrs,India,Not Mentioned,"data analytics, predictive analytics, sql, tableau, predictive modeling, python, macros, data validation"
Data Analyst - Gurugram,Infosys,5-10 Yrs,"Chennai, Bengaluru, PAN INDIA",Not Mentioned,"Spark, Hive, Hadoop, Big Data, Kafka, Data, Data analysis"
Data Analyst,Leading Client,2-4 Yrs,"Hyderabad, Gurugram",Not Mentioned,"microsoft azure services, data crunching, data visualization, dashboards, statistics, management consulting, corporate planning, mathematics"
Space Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,2-5 Yrs,Bengaluru,Not Mentioned,"Data Analysis, tableau, python, data management, data visualization, machine learning, strategic planning, Machine"
Data Analyst,Leading Client,1-6 Yrs,"Mumbai, Gurugram, Bengaluru",Not Mentioned,"SQL, data transformations, Microsoft Azure services, data aggregations, Power BI administration, data acquisition, Python, Aggregate"
ESG data analyst,Cognizant,2-5 Yrs,Hyderabad,Not Mentioned,"VBA, Subject Matter Expertise, Data Interpretation, ESG, Data Analytics, Power Bi, Esg Reporting, Crystal Report"
Data Analyst,EQ Magazine (first Source Energy India,2-3 Yrs,Bengaluru,Not Mentioned,"Unix, Shell programming, Renewable energy, Linux, Data Analyst, wind energy, Sensors, Manager Quality Control"
Data Analyst (IoT),Log9 Materials,0-6 Yrs,Bengaluru,Not Mentioned,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools"
Data Analyst,Client of Mount Talent Firm,5-10 Yrs,Delhi / NCR,Not Mentioned,"Data Management and Analytics, ETL, SSIS Packages, Maintenance of ETL Jobs, deployment, Packaging, Analytics, Data"
Data Analyst (Profisee - MDM),Kalypso It Solutions,1-6 Yrs,"Noida, New Delhi, Pune, Bengaluru",Not Mentioned,"Computer science, Analytical skills, ERP, Automation, Change management, Industrial automation, Agile, Data quality"
Data Analyst (Profisee - MDM),Kalypso It Solutions,1-6 Yrs,"Noida, New Delhi, Pune, Chennai, Bengaluru",Not Mentioned,"Computer science, Analytical skills, Automation, ERP, Change management, Industrial automation, Agile, Data quality"
Data Analyst,Thomson Reuters,4-6 Yrs,Bengaluru,Not Mentioned,"data analysis, data analytics, data management, alteryx, data governance, risk management, python, sas"
Data Analyst,Fleetx,1-4 Yrs,Gurugram,Not Mentioned,"Tableau, SQL, Data Visualization, Advanced Excel, Dashboard Development, Data Analytics, Sales Analytics, Sales"
Data Analyst | Looking For candidates from FMCG Industry only | MNC |,FMCG industry,2-5 Yrs,Hyderabad,Not Mentioned,"Power Bi, Data Analyst, Advanced Excel, SQL, Data Analysis, Data Analytics, Analytics, Analysis"
Data Analyst - L3,Wipro,3-5 Yrs,Hyderabad,Not Mentioned,"advance sql, data analysis, presentation skills, business analysis, sql, python, data validation, data mining"
Data Analyst - L3,Wipro,3-5 Yrs,Pune,Not Mentioned,"data analysis, data mining, data warehousing, big data, data integration, python, macros, data validation"
Data Analyst - L4,Wipro,5-8 Yrs,Hyderabad,Not Mentioned,"data analysis, data mining, data warehousing, network operations, data integration, python, macros, data validation"
Data Analyst - L3,Wipro,3-5 Yrs,Hyderabad,Not Mentioned,"architecting, data analysis, data mining, data warehousing, data integration, python, data validation, pivot table"
Data Analyst - L4,Wipro,5-8 Yrs,Hyderabad,Not Mentioned,"data analysis, data warehousing, business analysis, business analytics, data integration, python, macros, data validation"
Data Analyst,Larsen & Toubro (L&T),2-5 Yrs,Mumbai,Not Mentioned,"Order management, Analyst, Performance management, Data Analyst, Project procurement, SCM, Analytics, Order fulfillment"
Data Analyst - L4,Wipro,5-8 Yrs,Hyderabad,Not Mentioned,"architecting, data analysis, data mining, data warehousing, data integration, python, data validation, pivot table"
Data Analyst - L4,Wipro,5-8 Yrs,Chennai,Not Mentioned,"retail banking, data analysis, data mining, data warehousing, data integration, python, macros, data validation"
Data Analyst/Cognitive Data Analyst - (Only Mumbai candidates please,Recruit Me,2-4 Yrs,Mumbai (All Areas),Not Mentioned,"Data Management, Quality Assurance, Data Annotation, Gdpr, Data Analysis, Data Collection, Data Analytics, Annotation"
Data Analyst,Krtya Technologies,4-7 Yrs,Amod,Not Mentioned,"Data Analyst, Data analysis, Data"
Data Analyst,Arting Digital,2-7 Yrs,Hyderabad,Not Mentioned,"IT services, Computer science, Data analysis, Statistical analysis, data manipulation, Data Analyst, data visualization, Product marketing"
Data Analyst - SCM (Logistics),Walkaroo International,1-5 Yrs,Coimbatore,Not Mentioned,"Data Analytics, Scm Operations, Power Bi, Logistics Operations, SQL, Python, Data analysis, SCM"
Data Analyst - People & Culture,NTT DATA Business Solutions,3-8 Yrs,Gurugram,Not Mentioned,"Payroll, SAP, HRIS, Data modeling, Analytical, Project management, power bi, HR"
Data Analyst,Jade Global,2-6 Yrs,"Kolkata, Hyderabad, Pune",Not Mentioned,"snowflake, data analysis, data modeling, data visualization, etl, python, charts, software testing"
DATA ANALYST,Eviden,4-5 Yrs,Chennai,Not Mentioned,"Manager Quality Assurance, spark, Hadoop, IT projects, high performance computing, Data Analyst, Research, digital transformation"
DATA ANALYST,Maven Wave Partners,4-5 Yrs,Chennai,Not Mentioned,"Manager Quality Assurance, spark, Hadoop, IT projects, high performance computing, Data Analyst, Research, digital transformation"
Data analyst,Comviva Technology,7-10 Yrs,Bengaluru,Not Mentioned,"Order management, Telecom, Data analysis, Data validation, Analytical, Reconciliation, business rules, data mapping"
Data Analyst,Oddity Healthcare,2-4 Yrs,Navi Mumbai,Not Mentioned,"Data Analytics, Data Reporting, Power Bi, GCP, Data Visualization, SQL, Python, Analytics"
Data Analyst,Cointab Software,0-1 Yrs,Mumbai (All Areas),Not Mentioned,"Communication Skills, Data Analysis, Data Visualization, Data Manipulation, Data Extraction, Data Cleansing, Data Analytics, Data Reporting"
Client Data Analyst,JPMorgan Chase Bank,0-7 Yrs,Bengaluru,Not Mentioned,"Analytical skills, Training, Due diligence, Focus, Data Analyst, Investment banking, Management, banking products"
Data Analyst,Talent Carriage,0-5 Yrs,New Delhi,Not Mentioned,"Records management, Transition, Data analytics, Data Analyst, HR, Management, CSAT, SLAS"
Data Analyst,IndustryBuying,3-5 Yrs,"New Delhi(Ghitorni), Delhi / NCR",Not Mentioned,"Excel, Google Analytics, Looker Studio, SQL, Python, Crawling, Tableau, Looker"
Data Analyst,TVS Credit Services,3-8 Yrs,Chennai(Egmore +1),Not Mentioned,"PLSQL, cross sell, data analyst, SQL, Cross selling, Data analysis, Data, Selling"
Data Analyst,Leading Client,4-6 Yrs,Bengaluru,Not Mentioned,"quicksight, presentation skills, sql, agile, etl, project management, python, data analysis"
Data Analyst - Mumbai,consulting firm,7-12 Yrs,Mumbai (All Areas),Not Mentioned,"Data Analyst, SQL, Python, Data analysis, Data"
Data Analyst,IDEMIA,2-7 Yrs,Noida,Not Mentioned,"Power Bi, SQL, Aws Cloud, Azure Cloud, Time Series Analysis, Data Modeling, Supply Chain Management, ETL"
Data Analyst,An Indian MNC Company,0-2 Yrs,Ranchi,Not Mentioned,"Data Analysis, Data Visualization, Energy Audit, SQL Queries, Advanced Excel, Data Analytics, SQL, Analytics"
Data Engineer / Analyst,We Shine Academy,0-3 Yrs,Chennai,Not Mentioned,"hive, python, data analysis, data analytics, oracle, scala, data mining, data warehousing"
Data Governance Analyst,Barclays,0-8 Yrs,Pune,Not Mentioned,"data cleansing, Analytical, Data quality, Business strategy, Assistant Vice President, Risk management, Stakeholder management, Operations"
Data Analyst,Agilent Technologies,1-13 Yrs,"Gurugram, Manesar",Not Mentioned,"Data analysis, Change management, Networking, Data management, Operational risk, Coding, Project management, Analytical"
"Analyst, Data Sourcing - Metadata (L08)",Synchrony,0-6 Yrs,Hyderabad,Not Mentioned,"Unix, Computer science, Linux, Data management, Bfsi, Ab Initio, Oracle, Apache"
Data Analyst,Legistify,0-1 Yrs,Gurugram,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Regency Technologies,3-5 Yrs,Bengaluru,Not Mentioned,"Automation, Business analysis, Technical writing, Analytical, Information management, Operations, Analytics, SQL"
Tableau or Data Analyst(contract position) & F2F interview on 2nd or 3,JPMorgan Chase Bank,5-10 Yrs,Mumbai (All Areas)(Goregaon),Not Mentioned,"Alteryx, Tableau, SQL, SAS, Python, Data, Data analysis, Positioning"
Data Analyst (Deployment),Legistify,0-2 Yrs,Gurugram,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Bahwan CyberTek,4-9 Yrs,Bengaluru,Not Mentioned,"Quicksight, Python, Power Bi, Data Visualization, Tableau, Dashboards, Bi, Data"
Data Analyst,Konovo,5-10 Yrs,Bengaluru,Not Mentioned,"Manager Quality Assurance, Analytical, Pharma, Data collection, Healthcare, Market research, Life sciences, Data Analyst"
Translator/Data Analyst (German),S&P Global Market Intelligence,2-7 Yrs,"Hyderabad, Gurugram",Not Mentioned,"python, information research, sql, vba, financial statements, data analysis, presentation skills, data integrity"
Data Analyst,Apollo Pharmacy,4-6 Yrs,New Delhi,Not Mentioned,"Power Bi, Data Analysis, data visualization, statistical analysis, Analysis, Bi, Statistics, Data"
Data Analyst - L3,Wipro,4-8 Yrs,Bengaluru,Not Mentioned,"data analysis, data mining, data warehousing, business analytics, data integration, python, data analytics, data validation"
Company Data - Analyst,MSCI Services,2-4 Yrs,Mumbai,Not Mentioned,"CVS, Automation, Data analysis, Data validation, Fixed income, Machine learning, Manager Quality Control, SQL"
Data Analyst,Barclays,1-3 Yrs,Chennai,Not Mentioned,"investment bankingcorporate banking, macros, data analysis, brd, accounting, machine learning, artificial intelligence, sql"
Data Analyst,Alpine Placement Consultant,3-8 Yrs,Satara,Not Mentioned,"Power Bi, Tableau, Data Analytics, Excel, Data Analysis, Data Visualization, Data Mining, SQL"
Data Analyst,Mentorji,1-3 Yrs,Hapur,Not Mentioned,"Data Analyst, Data analysis, Data"
Data Analyst,"NTT DATA, Inc.",1-4 Yrs,Bengaluru,Not Mentioned,"data analytics, data analysis, data reconciliation, stakeholder management, reporting tools, cbap, business analysis, variance analysis"
Data Analyst,"NTT DATA, Inc.",1-4 Yrs,Bengaluru,Not Mentioned,"data analytics, data analysis, data reconciliation, stakeholder management, reporting tools, cbap, revenue analysis, business analysis"
Data Analyst,Radical Minds,2-5 Yrs,Gurugram(Cyber City),Not Mentioned,"Report Generation, Data Analysis, Data Reporting, Data Visualization, Dashboards, Analysis, Reporting, Data"
Data Analyst,SSTech System,2-4 Yrs,Ahmedabad,Not Mentioned,"Data validation, Test case execution, Manager Quality Assurance, Analytical, Data quality, Continuous improvement, Product support, SQL"
Data Analyst,Brunel,4-8 Yrs,Bengaluru,Not Mentioned,"Business process, tableau, Excel, MS Access, SQL database, Workflow, Data Analyst, Data analytics"
Data Analyst,Capgemini,4-6 Yrs,Bengaluru,Not Mentioned,"python, software development, pyspark, relational databases, sql, data analytics, software design, data warehousing"
Exec. Data Analyst,Fluidscapes,1-3 Yrs,Mumbai,Not Mentioned,"Data analysis, Statistical modeling, Excel, Analytical, Strategic planning, power bi, Data Analyst, Analytics"
